GeeSkid v1.05
Date/Time,Join/Leave,Name,SCID,IP,PID,Friend,Host,Host Priority,Rank,K/D,Money,Modder Flags
2022-09-30 0000-58,Join,davidsr999,52637858,46.6.135.36,1, , ,10 of 20,191,1.27,$197184,
2022-09-30 0000-58,Join,Davamonpire,130538456,82.24.187.80,2, , ,20 of 20,136,0.32,$214973,
2022-09-30 0000-58,Join,Hard_Boiled_Egg7,135081142,82.1.87.51,3, , ,5 of 20,131,1.5,$1322128,
2022-09-30 0000-58,Join,bryeek,121805158,178.159.161.6,4, , ,15 of 20,72,0.69,$248309,
2022-09-30 0000-58,Join,Bramvdl27,22042020,83.84.193.216,7, , ,6 of 20,112,0.47,$221213,
2022-09-30 0000-58,Join,nieu_1,26584585,195.139.178.53,8, , ,12 of 20,147,0.52,$568477,
2022-09-30 0000-58,Join,Kamii_G,215522519,95.102.4.158,9,Friend, ,11 of 20,8000,0.66,$1128475481,
2022-09-30 0000-58,Join,Unhinged_sinner,23377918,71.190.178.39,10, , ,18 of 20,232,3.13,$47907755,
2022-09-30 0000-58,Join,malek_alsaied,115533138,79.219.192.53,11, , ,13 of 20,2606,1.41,$576395142,
2022-09-30 0000-58,Join,Mohamadnour575,112933934,79.227.187.24,12, , ,14 of 20,2810,0.79,$855802649,
2022-09-30 0000-58,Join,HassanL21,144038188,37.201.198.129,13, , ,1 of 20,1822,0.8,$716637511,
2022-09-30 0000-58,Join,Zettr4H,134429207,90.8.147.46,16, , ,8 of 20,134,0.74,$8657494,
2022-09-30 0000-58,Join,Haiden9748,127021526,176.136.112.118,17, , ,17 of 20,857,1.13,$19062510,
2022-09-30 0000-58,Join,jes_v_,72375168,176.93.246.103,19, , ,3 of 20,135,0.23,$271762,
2022-09-30 0000-58,Join,woozyXX__NICK__X,207565049,94.3.72.16,20, , ,2 of 20,597,5.25,$207043502,
2022-09-30 0000-58,Join,Bozokgok,154493065,31.223.13.112,21, , ,19 of 20,170,0.92,$2883644,
2022-09-30 0000-20,Join,xCandyxxx,77973851,86.20.38.195,0, , ,16 of 20,421,1.19,$2147483647,
2022-09-30 0001-32,Join,Frostblade--1,181066719,86.159.159.106,5, , ,10 of 20,152,0.33,$87650,
2022-09-30 0002-33,Leave,Frostblade--1,181066719,86.159.159.106,5, , ,10 of 20,152,0.33,$87650,
2022-09-30 0003-15,Leave,davidsr999,52637858,46.6.135.36,1, , ,9 of 20,191,1.27,$197184,
2022-09-30 0003-55,Leave,Bozokgok,154493065,31.223.13.112,21, , ,19 of 20,170,0.92,$2883644,
2022-09-30 0003-52,Join,gantelkaa,169936383,94.244.37.174,1, , ,10 of 20,317,863335.06,$32263391,High K/D 
2022-09-30 0004-02,Join,AthalonGold,164731012,92.234.181.174,15, , ,7 of 21,181,1.28,$20165756,
2022-09-30 0004-25,Join,lev579,22688385,193.232.169.115,6, , ,19 of 21,185,0.45,$5769343,
2022-09-30 0005-09,Leave,lev579,22688385,193.232.169.115,6, , ,19 of 21,185,0.45,$5769343,
2022-09-30 0004-56,Join,satan666design,78138614,185.203.216.188,18, , ,8 of 21,1454,1.98,$1014655479,RAC 
